epoch,split,loss,ppl,top1,top3,top5,mrr,tokens,lr,seconds
17,val,0.7944278978642391,2.2131744727054015,0.7979973754778342,0.9922405431619786,0.9997147258515433,0.8947445509294588,35054,0.00028572405786990294,1.4715933799743652
18,train,0.813947969707763,2.2568002008599786,nan,nan,nan,nan,634893,0.0002814460020065795,1.4723014831542969
18,val,0.7931078795838656,2.2102549692666527,0.8032178923945912,0.992468762480744,0.999572088777315,0.8973888389163861,35054,0.0002814460020065795,1.4723014831542969
19,train,0.8108309748794469,2.2497767180715975,nan,nan,nan,nan,634893,0.00027664918882530225,1.4517884254455566
19,val,0.7922153182681849,2.208283061338574,0.7997946026131112,0.9920979060877503,0.999657671021852,0.8955690322208236,35054,0.00027664918882530225,1.4517884254455566
20,train,0.8086631485355765,2.2449048753967062,nan,nan,nan,nan,634893,0.0002713525491562421,1.47029709815979
20,val,0.7908660978743686,2.205305609867698,0.7991384720716609,0.9929252011182746,0.999657671021852,0.8954275443222421,35054,0.0002713525491562421,1.47029709815979
21,train,0.8069610673082993,2.2410871149421667,nan,nan,nan,nan,634893,0.00026557698641636835,1.4467358589172363
21,val,0.7904369710257166,2.20435945704533,0.8009356992069379,0.9930393107776573,0.999657671021852,0.8964474551205818,35054,0.00026557698641636835,1.4467358589172363
22,train,0.8049643581360566,2.2366167802083616,nan,nan,nan,nan,634893,0.0002593452941132117,1.4892451763153076
22,val,0.7896733246418484,2.2026767484961347,0.8006504250584812,0.9930393107776573,0.9996861984366977,0.8963383809399427,35054,0.0002593452941132117,1.4892451763153076
23,train,0.8035408486667553,2.2334352000845112,nan,nan,nan,nan,634893,0.0002526820658893033,1.4509413242340088
23,val,0.7902459234548471,2.203938359751827,0.8026758715125235,0.9918126319392937,0.9996861984366977,0.8969170082898884,35054,0.0002526820658893033,1.4509413242340088
24,train,0.80284230648575,2.2318755961766863,nan,nan,nan,nan,634893,0.0002456135984623034,1.4592721462249756
